year,x,y,val
1994,0,2,0
1994,1,2,0
1994,2,2,0
1994,3,2,0
1994,4,2,0
1994,5,2,0
1994,6,2,0
1994,7,2,0
1994,8,2,0
1994,9,2,0
1994,0,3,0
1994,1,3,0
1994,2,3,0
1994,3,3,0
1994,4,3,0
1994,5,3,0
1994,6,3,0
1994,7,3,0
1994,8,3,0
1994,9,3,1
1994,0,4,0
1994,1,4,1
1994,2,4,0
1994,3,4,0
1994,4,4,0
1994,5,4,2
1994,6,4,0
1994,7,4,0
1994,8,4,0
1994,9,4,0
1994,0,5,1
1994,1,5,0
1994,2,5,0
1994,3,5,0
1994,4,5,1
1994,5,5,3
1994,6,5,0
1994,7,5,0
1994,8,5,1
1994,9,5,2
1994,0,6,2
1994,1,6,0
1994,2,6,1
1994,3,6,2
1994,4,6,6
1994,5,6,2
1994,6,6,2
1994,7,6,0
1994,8,6,2
1994,9,6,0
1994,0,7,1
1994,1,7,0
1994,2,7,2
1994,3,7,2
1994,4,7,1
1994,5,7,0
1994,6,7,0
1994,7,7,1
1994,8,7,0
1994,9,7,0
1994,0,8,1
1994,1,8,0
1994,2,8,1
1994,3,8,1
1994,4,8,0
1995,5,8,1
1995,0,0,0
1995,1,0,0
1995,2,0,0
1995,3,0,0
1995,4,0,0
1995,5,0,0
1995,6,0,0
1995,7,0,0
1995,8,0,0
1995,9,0,0
1995,0,1,0
1995,1,1,0
1995,2,1,0
1995,3,1,0
1995,4,1,0
1995,5,1,0
1995,6,1,0
1995,7,1,0
1995,8,1,0
1995,9,1,0
1995,0,2,0
1995,1,2,0
1995,2,2,0
1995,3,2,0
1995,4,2,0
1995,5,2,0
1995,6,2,0
1995,7,2,0
1995,8,2,0
1995,9,2,0
1995,0,3,0
1995,1,3,0
1995,2,3,0
1995,3,3,0
1995,4,3,0
1995,5,3,0
1995,6,3,0
1995,7,3,0
1995,8,3,0
1995,9,3,0
1995,0,4,0
1995,1,4,0
1995,2,4,0
1995,3,4,0
1995,4,4,0
1995,5,4,1
1995,6,4,0
1995,7,4,0
1995,8,4,0
1995,9,4,1
1995,0,5,2
1995,1,5,0
1995,2,5,3
1995,3,5,0
1995,4,5,4
1995,5,5,3
1995,6,5,2
1995,7,5,1
1995,8,5,0
1995,9,5,2
1995,0,6,3
1995,1,6,1
1995,2,6,1
1995,3,6,3
1995,4,6,1
1995,5,6,5
1995,6,6,2
1995,7,6,3
1995,8,6,3
1995,9,6,2
1995,0,7,2
1995,1,7,2
1995,2,7,1
1995,3,7,3
1995,4,7,0
1995,5,7,0
1995,6,7,0
1995,7,7,3
1995,8,7,1
1995,9,7,0
1995,0,8,0
1996,1,8,2
1996,0,0,0
1996,1,0,0
1996,2,0,0
1996,3,0,0
1996,4,0,0
1996,5,0,0
1996,6,0,0
1996,7,0,0
1996,8,0,0
1996,9,0,0
1996,0,1,0
1996,1,1,0
1996,2,1,0
1996,3,1,0
1996,4,1,0
1996,5,1,0
1996,6,1,0
1996,7,1,0
1996,8,1,0
1996,9,1,0
1996,0,2,0
1996,1,2,0
1996,2,2,0
1996,3,2,0
1996,4,2,0
1996,5,2,0
1996,6,2,0
1996,7,2,0
1996,8,2,0
1996,9,2,0
1996,0,3,0
1996,1,3,0
1996,2,3,0
1996,3,3,0
1996,4,3,0
1996,5,3,0
1996,6,3,0
1996,7,3,0
1996,8,3,0
1996,9,3,0
1996,0,4,0
1996,1,4,0
1996,2,4,0
1996,3,4,0
1996,4,4,1
1996,5,4,0
1996,6,4,1
1996,7,4,1
1996,8,4,1
1996,9,4,0
1996,0,5,0
1996,1,5,0
1996,2,5,2
1996,3,5,3
1996,4,5,1
1996,5,5,1
1996,6,5,2
1996,7,5,8
1996,8,5,2
1996,9,5,2
1996,0,6,0
1996,1,6,2
1996,2,6,2
1996,3,6,3
1996,4,6,3
1996,5,6,4
1996,6,6,1
1996,7,6,6
1996,8,6,3
1996,9,6,5
1996,0,7,5
1996,1,7,0
1996,2,7,0
1996,3,7,2
1996,4,7,1
1996,5,7,0
1996,6,7,0
1996,7,7,0
1997,8,7,1
1997,0,0,0
1997,1,0,0
1997,2,0,0
1997,3,0,0
1997,4,0,0
1997,5,0,0
1997,6,0,0
1997,7,0,0
1997,8,0,0
1997,9,0,0
1997,0,1,0
1997,1,1,0
1997,2,1,0
1997,3,1,0
1997,4,1,0
1997,5,1,0
1997,6,1,0
1997,7,1,0
1997,8,1,0
1997,9,1,0
1997,0,2,0
1997,1,2,0
1997,2,2,0
1997,3,2,0
1997,4,2,0
1997,5,2,0
1997,6,2,0
1997,7,2,0
1997,8,2,0
1997,9,2,0
1997,0,3,0
1997,1,3,0
1997,2,3,0
1997,3,3,0
1997,4,3,0
1997,5,3,0
1997,6,3,0
1997,7,3,0
1997,8,3,1
1997,9,3,0
1997,0,4,1
1997,1,4,1
1997,2,4,1
1997,3,4,1
1997,4,4,0
1997,5,4,0
1997,6,4,0
1997,7,4,2
1997,8,4,0
1997,9,4,0
1997,0,5,1
1997,1,5,0
1997,2,5,1
1997,3,5,3
1997,4,5,1
1997,5,5,1
1997,6,5,1
1997,7,5,1
1997,8,5,2
1997,9,5,4
1997,0,6,2
1997,1,6,3
1997,2,6,3
1997,3,6,3
1997,4,6,2
1997,5,6,5
1997,6,6,2
1997,7,6,5
1997,8,6,5
1997,9,6,3
1997,0,7,2
1997,1,7,2
1997,2,7,3
1997,3,7,3
1997,4,7,2
1997,5,7,4
1997,6,7,0
1997,7,7,1
1997,8,7,0
1997,9,7,1
1997,0,8,0
1997,1,8,0
1998,2,8,1
1998,0,0,0
1998,1,0,0
1998,2,0,0
1998,3,0,0
1998,4,0,0
1998,5,0,0
1998,6,0,0
1998,7,0,0
1998,8,0,0
1998,9,0,0
1998,0,1,0
1998,1,1,0
1998,2,1,0
1998,3,1,0
1998,4,1,0
1998,5,1,0
1998,6,1,0
1998,7,1,0
1998,8,1,0
1998,9,1,0
1998,0,2,0
1998,1,2,0
1998,2,2,0
1998,3,2,0
1998,4,2,0
1998,5,2,0
1998,6,2,0
1998,7,2,0
1998,8,2,0
1998,9,2,0
1998,0,3,0
1998,1,3,0
1998,2,3,0
1998,3,3,0
1998,4,3,0
1998,5,3,0
1998,6,3,0
1998,7,3,0
1998,8,3,0
1998,9,3,0
1998,0,4,0
1998,1,4,1
1998,2,4,0
1998,3,4,0
1998,4,4,0
1998,5,4,0
1998,6,4,0
1998,7,4,0
1998,8,4,1
1998,9,4,0
1998,0,5,1
1998,1,5,1
1998,2,5,1
1998,3,5,1
1998,4,5,1
1998,5,5,5
1998,6,5,3
1998,7,5,1
1998,8,5,2
1998,9,5,4
1998,0,6,6
1998,1,6,4
1998,2,6,3
